,SleepState,StimR,ChanR,N_con,N_pat,Median_dif,Median_norm,p-value,p-value_corrected,rejected
0,nrem,Amygdala,Central,30,3,0.04923207777898855,0.09176908629608871,0.11907656863331795,0.19149740569685633,False
1,nrem,Amygdala,Cingular,19,5,-0.018446421950315206,-0.018553048666791014,0.03090801365242956,0.06084861442314925,False
2,nrem,Amygdala,Dorsofrontal,196,9,0.09971868988513502,0.3040950455005056,2.4638473158254267e-15,3.0798091447817834e-14,True
3,nrem,Amygdala,Hippocampus,288,12,0.0,0.0,0.9874201114066212,1.0,False
4,nrem,Amygdala,Inferotemporal,518,12,0.017705616414536662,0.02934571549176862,9.453127176674655e-06,4.7265635883373276e-05,True
5,nrem,Amygdala,Insulo-temporal,571,12,0.006736068585425525,0.008522727272727218,3.5107362304540664e-06,1.970311149744629e-05,True
6,nrem,Amygdala,Mesiotemporal,350,11,0.0,0.0,0.6719787495951486,0.7578673866572657,False
7,nrem,Amygdala,Occipital,83,8,0.0,0.0,0.8769289359099814,0.9367443378130229,False
8,nrem,Amygdala,Operculo-insular,288,9,0.006061496638624597,0.006172839506172691,0.1324880196820903,0.2046865472616564,False
9,nrem,Amygdala,Orbitofrontal,238,8,-0.02631578947368418,-0.034540649926322206,4.9508815072314025e-05,0.0002094603714597901,True
10,nrem,Amygdala,Parietal,29,6,0.0827250608272506,0.3156281920326865,0.0037983879446983337,0.010240751811686684,True
11,nrem,Central,Amygdala,14,3,-0.02492064650530925,-0.24321332923281974,0.0245361328125,0.0507326054393797,False
12,nrem,Central,Central,6,1,0.13256161089961938,0.48651522848567663,0.0625,0.107421875,False
13,nrem,Central,Cingular,3,1,0.009013914095583941,0.009899674440236698,1.0,1.0,False
14,nrem,Central,Dorsofrontal,21,3,0.007339136371394495,0.06030855539972002,0.04285796577660063,0.07963473370652144,False
15,nrem,Central,Hippocampus,9,3,0.0617886178861789,0.6044142614601018,0.12890625,0.20058033830028468,False
16,nrem,Central,Inferotemporal,48,3,-0.0866207785325433,-0.369110309186492,6.933267727049497e-06,3.59745023573323e-05,True
17,nrem,Central,Insulo-temporal,67,3,-0.07588776062008051,-0.3747126436781608,0.0001782591634296412,0.000653616932575351,True
18,nrem,Central,Mesiotemporal,21,2,-0.07713638936049812,-0.41778385772913823,0.00035381317138671875,0.0012012175571771316,True
19,nrem,Central,Occipital,10,2,0.02163968781615836,0.14953758362849243,0.431640625,0.5275607638888888,False
20,nrem,Central,Operculo-insular,43,3,0.08274492497793473,0.35416666666666663,6.751837941010308e-05,0.000273052269673211,True
21,nrem,Central,Orbitofrontal,45,2,-0.009852216748768461,-0.01354386892177576,0.14657706614053723,0.22147633620136117,False
22,nrem,Central,Parietal,15,1,0.0033143939393938116,0.0034030140982011328,0.7531523647659145,0.828467601242506,False
23,nrem,Cingular,Amygdala,9,4,0.023687943262411387,0.10950819672131168,0.203125,0.29093424479166663,False
24,nrem,Cingular,Central,4,1,0.20990824795172625,0.8203002849142897,0.25,0.34034653465346537,False
25,nrem,Cingular,Dorsofrontal,36,5,-2.445523665962901e-05,-0.0037205456800329653,0.7621397360926494,0.835013655081588,False
26,nrem,Cingular,Hippocampus,15,3,0.1005785040089313,1.1830065359477133,0.00115966796875,0.003392645653257979,True
27,nrem,Cingular,Inferotemporal,31,5,0.050020703933747385,0.18477388279368478,0.20231117121875286,0.29093424479166663,False
28,nrem,Cingular,Insulo-temporal,33,5,0.03611510791366909,0.24854266030736621,0.03071066946722567,0.06084861442314925,False
29,nrem,Cingular,Mesiotemporal,19,5,0.0688503159270826,0.40692805481537886,0.04423369101367787,0.081639362609137,False
30,nrem,Cingular,Operculo-insular,52,5,0.024548192771084276,0.030864197530864113,0.005042948789367612,0.013083121859208428,True
31,nrem,Cingular,Orbitofrontal,42,5,0.0017872161480236293,0.00180928054491281,0.376449272036509,0.47271027310520536,False
32,nrem,Dorsofrontal,Amygdala,85,9,0.018555170707570498,0.1207028265851793,0.011109624600289834,0.02567350222756054,True
33,nrem,Dorsofrontal,Central,21,3,0.020705610179294398,0.09366823652537945,0.022231238286019233,0.04739217464073867,True
34,nrem,Dorsofrontal,Cingular,21,5,0.05128205128205121,0.06578947368421066,0.07013702392578125,0.11979926446950213,False
35,nrem,Dorsofrontal,Dorsofrontal,225,8,0.0014867677668748969,0.0032594524119949667,0.2536319015161975,0.3419057495929133,False
36,nrem,Dorsofrontal,Hippocampus,92,8,0.05804584991891496,0.33670343137254943,3.8715605740733554e-06,2.1293583157403454e-05,True
37,nrem,Dorsofrontal,Inferotemporal,568,10,-0.0027753021292398067,-0.01110193002017628,0.6724350630704468,0.7578673866572657,False
38,nrem,Dorsofrontal,Insulo-temporal,242,10,0.059595279759501046,0.41377970242060846,1.3013027338656349e-11,1.2339939717691366e-10,True
39,nrem,Dorsofrontal,Mesiotemporal,248,9,0.011891679748822603,0.03246753246753231,0.020178044493920202,0.044039382824032185,True
40,nrem,Dorsofrontal,Occipital,50,5,0.04214211692941075,0.39567735690369304,0.00039864755038721,0.0013208201970660572,True
41,nrem,Dorsofrontal,Operculo-insular,668,10,0.07944919014437735,0.19611668524712,5.085188847660143e-53,1.3984269331065393e-50,True
42,nrem,Dorsofrontal,Orbitofrontal,439,9,0.064873417721519,0.18730158730158689,1.1753883344258485e-27,5.387196532785139e-26,True
43,nrem,Dorsofrontal,Parietal,69,5,0.02967620614679431,0.10454545454545457,4.054669135482442e-05,0.00017698952575518595,True
44,nrem,Hippocampus,Amygdala,278,12,0.0,0.0,6.366439434218915e-06,3.432884008647454e-05,True
45,nrem,Hippocampus,Central,17,3,-0.0795454545454546,-0.36099365750528534,1.0,1.0,False
