SleepState,StimR,ChanR,N_con,N_pat,Median_dif,Median_norm,p-value,p-value_corrected,rejected
nrem,Amygdala,Central,29,3,0.14836961224615042,0.074118957765538,0.0688701830804348,0.10413503586258516,False
nrem,Amygdala,Cingular,19,5,-0.3074394459340519,-0.04826675005884748,0.104156494140625,0.15199581412381905,False
nrem,Amygdala,Dorsofrontal,184,9,0.25195367013835135,0.20609109809212692,1.0745971208171706e-08,4.025729512315072e-08,True
nrem,Amygdala,Hippocampus,285,12,0.035348463041743106,0.0059466885342510075,0.8135146715590093,0.857950346896266,False
nrem,Amygdala,Inferotemporal,448,12,0.15926505045648642,0.09562799325038153,8.494860003193266e-17,5.922805168893082e-16,True
nrem,Amygdala,Mesiotemporal,340,11,0.15743741518988497,0.032523881391867224,0.03415573284137132,0.05603326106656341,False
nrem,Amygdala,Occipital,74,6,-0.042844193399714126,-0.017589072721359435,0.13352500548200652,0.18619320208879797,False
nrem,Amygdala,Operculo-insular,277,9,0.10391673797499346,0.0523990495277065,0.00037849543568626036,0.000847606119723829,True
nrem,Amygdala,Orbitofrontal,235,8,0.016524604121391784,0.012832359186494568,0.6488925258453964,0.7143509823999759,False
nrem,Amygdala,Parietal,23,5,0.22413690209733272,0.21167274171318273,0.006710529327392578,0.012476613786485461,True
nrem,Amygdala,Insulo-temporal,549,12,0.2923967615340002,0.13628528835203477,7.509673704863552e-31,1.1780800624504698e-29,True
nrem,Central,Amygdala,5,2,0.07051599661588948,0.045421971621570634,0.3125,0.3883044554455446,False
nrem,Central,Central,6,1,0.2726262381070079,0.16214625773886587,0.21875,0.2815705128205128,False
nrem,Central,Cingular,3,1,0.43759806347843755,0.1312309837334241,0.5,0.5704545454545454,False
nrem,Central,Dorsofrontal,17,3,0.31705256667464,0.17077855828080957,0.050537109375,0.08079499651671974,False
nrem,Central,Hippocampus,8,3,-0.15630902485258868,-0.08550472686582197,0.9453125,0.9731855548796107,False
nrem,Central,Inferotemporal,39,3,0.008445311282076151,0.003398763085006893,0.8957254780943913,0.9328925103804656,False
nrem,Central,Mesiotemporal,14,2,0.03191611579363052,0.017993525228167995,0.7608642578125,0.8058098257845464,False
nrem,Central,Occipital,10,2,-0.09827279643696973,-0.05105011625335591,0.013671875,0.023666487068965514,True
nrem,Central,Operculo-insular,41,3,0.07680382535683994,0.051336060987037045,0.07568452621308097,0.11307628618740075,False
nrem,Central,Orbitofrontal,44,2,-0.17223615144243498,-0.04843988508548333,0.009798666583151316,0.017567609374078433,True
nrem,Central,Parietal,15,1,0.1411515196451132,0.04708379875134538,0.42120361328125,0.501052639495705,False
nrem,Central,Insulo-temporal,50,3,0.1373795298814019,0.08571208106883665,0.016185270214664982,0.027449343404600746,True
nrem,Cingular,Amygdala,8,4,0.36297156437709577,0.22697865033788334,0.015625,0.02667942176870748,True
nrem,Cingular,Central,4,1,0.4452761659853083,0.3119490178604573,0.125,0.17527932960893855,False
nrem,Cingular,Dorsofrontal,34,5,0.07990716204983239,0.05402861342859554,0.5887860532384366,0.6597558007269981,False
nrem,Cingular,Hippocampus,14,3,-0.1178762327395183,-0.06095070618221095,0.3909912109375,0.4695636073938397,False
nrem,Cingular,Inferotemporal,22,4,0.1603416832266834,0.09391245618447142,0.010324478149414062,0.018379035570942767,True
nrem,Cingular,Mesiotemporal,18,5,0.2455734968222335,0.08263503224492576,0.0076904296875,0.01398766559103261,True
nrem,Cingular,Operculo-insular,52,5,0.5208377355607366,0.25058852713187946,9.467788288271779e-08,3.211371432913806e-07,True
nrem,Cingular,Orbitofrontal,42,5,0.22604167218071414,0.08510466794132894,0.06382007480306129,0.09768723278510862,False
nrem,Cingular,Insulo-temporal,26,4,0.1446754498738898,0.11901440604945387,0.05251908302307129,0.08187757663845276,False
nrem,Dorsofrontal,Amygdala,61,7,0.40404140816800815,0.28222175753500356,3.9497379424668966e-09,1.5990068121922437e-08,True
nrem,Dorsofrontal,Central,20,3,0.060415504557616906,0.027453365668253384,0.49800872802734375,0.5704545454545454,False
nrem,Dorsofrontal,Cingular,21,5,0.5393139161404552,0.2817599798271206,2.384185791015625e-05,6.25745915104491e-05,True
nrem,Dorsofrontal,Dorsofrontal,203,8,0.09215117056557265,0.047370086225984445,0.015521006969000935,0.02667942176870748,True
nrem,Dorsofrontal,Hippocampus,73,8,0.17993825742577552,0.11123385668710611,0.0004386176256387673,0.0009657282810116718,True
nrem,Dorsofrontal,Inferotemporal,463,10,0.19566790725915673,0.13927667496809423,1.3595421944826417e-22,1.3649803632605723e-21,True
nrem,Dorsofrontal,Mesiotemporal,189,9,0.15245652382417285,0.07776900678381854,5.124187999213362e-07,1.6077139847531925e-06,True
nrem,Dorsofrontal,Occipital,35,3,0.16431483283136528,0.15302264162898319,0.0016234985087066889,0.003367753104837842,True
nrem,Dorsofrontal,Operculo-insular,645,10,0.2612637611615336,0.14223251021437225,1.9201266272598847e-39,4.81951783442231e-38,True
nrem,Dorsofrontal,Orbitofrontal,416,9,0.125632390440864,0.07158204432993262,1.5897544009901877e-11,7.980567092970743e-11,True
nrem,Dorsofrontal,Parietal,60,5,0.17735375470674813,0.1479799454529547,0.0002194331392082017,0.0005007065267387148,True
